,Ticker,Representative,Transaction,Amount,House,Range,Date,OpenPrice,previous_seven_days,OpenPricePrevSevenDays,next_seven_days,OpenPriceNextSevenDays,next_day,OpenPriceNextDay,next_2_day,OpenPriceNextDay2,next_3_day,OpenPriceNextDay3,next_4_day,OpenPriceNextDay4,next_5_day,OpenPriceNextDay5,next_6_day,OpenPriceNextDay6,next_7_day,OpenPriceNextDay7,next_seven_days_spy,OpenPriceNextSevenDays_spy,Stock_purchase_to_day1_perent_change,Stock_day1_to_day2_perent_change,Stock_day2_to_day3_perent_change,Stock_day3_to_day4_perent_change,Stock_day4_to_day5_perent_change,Stock_day5_to_day6_perent_change,Stock_day6_to_day7_perent_change,SPY_change_purchase_to_7_day
0,AAPL,Debbie Dingell,Sale,15001,Representatives,"$15,001-$50,000",4/18/22,163.92,4/11/22,168.71,4/25/22,161.12,4/19/22,165.02,4/20/22,168.76,4/21/22,168.91,4/22/22,166.46,4/23/22,161.12,4/24/22,161.12,4/25/22,161.12,4/22/22,436.91,0.006710591,0.02266392,0.000888836,-0.014504766,-0.032079779,0,0,-0.044802088
1,VZ,Mo Brooks,Sale,1001,Representatives,"$1,001-$15,000",4/11/22,53.87,4/4/22,52.02,4/18/22,53.76,4/12/22,53.87,4/13/22,53.59,4/14/22,54,4/15/22,53.44,4/16/22,53.79,4/17/22,53.79,4/18/22,53.76,4/18/22,436.81,0,-0.005197698,0.007650681,-0.01037037,0.006549401,0,-0.000557724,0.009975006
2,INTC,Dwight Evans,Purchase,1001,Representatives,"$1,001-$15,000",3/30/22,52.25,3/23/22,48.46,4/6/22,47.44,3/31/22,51.2,4/1/22,49.83,4/2/22,46.75,4/3/22,47.45,4/4/22,48.17,4/5/22,48.83,4/6/22,47.44,4/5/22,455.22,-0.020095694,-0.026757813,-0.061810155,0.014973262,0.015173867,0.013701474,-0.028466107,-0.026871443
3,ARKG,Dwight Evans,Sale,1001,Representatives,"$1,001-$15,000",3/25/22,45.94,3/18/22,44.12,4/1/22,46.46,3/26/22,46.79,3/27/22,46.46,3/28/22,44.82,3/29/22,46.1,3/30/22,48.12,3/31/22,46.79,4/1/22,46.46,3/31/22,457.89,0.018502394,-0.007052789,-0.035299182,0.028558679,0.043817787,-0.027639235,-0.007052789,0.008999025
4,KMI,Dwight Evans,Purchase,1001,Representatives,"$1,001-$15,000",3/30/22,19,3/23/22,18.07,4/6/22,19,3/31/22,18.98,4/1/22,19.03,4/2/22,18.73,4/3/22,18.52,4/4/22,19.3,4/5/22,19.24,4/6/22,19,4/5/22,455.22,-0.001052632,0.002634352,-0.015764582,-0.011211959,0.042116631,-0.003108808,-0.012474012,-0.026871443
5,GD,Dwight Evans,Purchase,1001,Representatives,"$1,001-$15,000",3/30/22,242,3/23/22,238.7,4/6/22,239.03,3/31/22,242.14,4/1/22,241.17,4/2/22,242.52,4/3/22,237.33,4/4/22,242.49,4/5/22,238.61,4/6/22,239.03,4/5/22,455.22,0.000578512,-0.004005947,0.005597711,-0.021400297,0.021741878,-0.01600066,0.001760194,-0.026871443
6,ARKK,Dwight Evans,Sale,1001,Representatives,"$1,001-$15,000",3/30/22,70.48,3/23/22,65.94,4/6/22,64.85,3/31/22,68.39,4/1/22,66.76,4/2/22,65.42,4/3/22,68.53,4/4/22,68.22,4/5/22,70.17,4/6/22,64.85,4/5/22,455.22,-0.029653802,-0.023833894,-0.020071899,0.047538979,-0.004523566,0.028583993,-0.075815876,-0.026871443
7,CE,Dwight Evans,Sale,1001,Representatives,"$1,001-$15,000",3/30/22,146.33,3/23/22,143.11,4/6/22,141.47,3/31/22,144,4/1/22,145.32,4/2/22,143.84,4/3/22,145.49,4/4/22,143.68,4/5/22,142.92,4/6/22,141.47,4/5/22,455.22,-0.015922914,0.009166667,-0.010184421,0.011471079,-0.012440718,-0.005289532,-0.010145536,-0.026871443
8,NEO,Dwight Evans,Sale,1001,Representatives,"$1,001-$15,000",3/30/22,12.52,3/23/22,17.38,4/6/22,11.93,3/31/22,12.84,4/1/22,12.45,4/2/22,17.61,4/3/22,12.73,4/4/22,12.43,4/5/22,12.54,4/6/22,11.93,4/5/22,455.22,0.025559105,-0.030373832,0.414457831,-0.277115275,-0.023566379,0.008849558,-0.048644338,-0.026871443
9,ARKG,Dwight Evans,Sale,1001,Representatives,"$1,001-$15,000",3/25/22,45.94,3/18/22,44.12,4/1/22,46.46,3/26/22,46.79,3/27/22,46.46,3/28/22,44.82,3/29/22,46.1,3/30/22,48.12,3/31/22,46.79,4/1/22,46.46,3/31/22,457.89,0.018502394,-0.007052789,-0.035299182,0.028558679,0.043817787,-0.027639235,-0.007052789,0.008999025
