,Ticker,Representative,Transaction,Amount,House,State,Party,Range,Date,OpenPrice,previous_seven_days,OpenPricePrevSevenDays,next_seven_days,OpenPriceNextSevenDays,previous_thirty_days,OpenPricePreviousThirtyDays,next_thirty_days,OpenPriceNextThirtyDays,previous_7_day_percent_change,next_7_day_percent_change,previous_30_day_percent_change,Next_12_days_present_percent_change,OpenPrice_spy,previous_seven_days_spy,OpenPricePrevSevenDays_spy,next_seven_days_spy,OpenPriceNextSevenDays_spy,previous_thirty_days_spy,OpenPricePrevThirtyDays_spy,next_thirty_days_spy,OpenPriceNextThirtyDays_spy,prev_7_days_spy_percent_change,next_7_days_spy_percent_change,prev_30_days_spy_percent_change,next_30_days_spy_percent_change
0,AAPL,Debbie Dingell,Sale,15001,Representatives,Michigan,Democratic,"$15,001-$50,000",4/18/22,163.92,4/11/22,168.71,4/25/22,161.12,3/19/22,160.51,4/30/22,156.71,-0.028391915,-0.017081503,0.021244782,-0.043984871,436.81,4/8/22,447.97,4/22/22,436.91,3/18/22,438,4/28/22,422.29,-0.024912383,0.000228932,-0.002716895,-0.033240997
1,VZ,Mo Brooks,Sale,1001,Representatives,Alabama,Republican,"$1,001-$15,000",4/11/22,53.87,4/4/22,52.02,4/18/22,53.76,3/12/22,53.36,4/23/22,53.34,0.035563245,-0.002041953,0.009557721,-0.0098385,444.11,4/4/22,453.13,4/18/22,436.81,3/14/22,420.89,4/22/22,436.91,-0.019905987,-0.016437369,0.055168809,-0.0162122
2,INTC,Dwight Evans,Purchase,1001,Representatives,Pennsylvania,Democratic,"$1,001-$15,000",3/30/22,52.25,3/23/22,48.46,4/6/22,47.44,2/28/22,47,4/11/22,46.9,0.078208832,-0.092057416,0.111702128,-0.102392344,460.34,3/23/22,446.91,4/5/22,455.22,3/2/22,432.37,4/11/22,444.11,0.030050793,-0.011122214,0.064689965,-0.03525655
3,ARKG,Dwight Evans,Sale,1001,Representatives,Pennsylvania,Democratic,"$1,001-$15,000",3/25/22,45.94,3/18/22,44.12,4/1/22,46.46,2/23/22,44.8,4/6/22,45.56,0.041251133,0.011319112,0.025446429,-0.008271659,451.16,3/18/22,438,3/31/22,457.89,2/25/22,429.61,4/6/22,446.89,0.030045662,0.014917103,0.050161775,-0.009464492
4,KMI,Dwight Evans,Purchase,1001,Representatives,Pennsylvania,Democratic,"$1,001-$15,000",3/30/22,19,3/23/22,18.07,4/6/22,19,2/28/22,16.92,4/11/22,19.31,0.051466519,0,0.122931442,0.016315789,460.34,3/23/22,446.91,4/5/22,455.22,3/2/22,432.37,4/11/22,444.11,0.030050793,-0.011122214,0.064689965,-0.03525655
5,GD,Dwight Evans,Purchase,1001,Representatives,Pennsylvania,Democratic,"$1,001-$15,000",3/30/22,242,3/23/22,238.7,4/6/22,239.03,2/28/22,229.59,4/11/22,244.31,0.013824885,-0.012272727,0.054052877,0.009545455,460.34,3/23/22,446.91,4/5/22,455.22,3/2/22,432.37,4/11/22,444.11,0.030050793,-0.011122214,0.064689965,-0.03525655
6,ARKK,Dwight Evans,Sale,1001,Representatives,Pennsylvania,Democratic,"$1,001-$15,000",3/30/22,70.48,3/23/22,65.94,4/6/22,64.85,2/28/22,68.07,4/11/22,59.31,0.06885047,-0.079880817,0.03540473,-0.158484677,460.34,3/23/22,446.91,4/5/22,455.22,3/2/22,432.37,4/11/22,444.11,0.030050793,-0.011122214,0.064689965,-0.03525655
7,CE,Dwight Evans,Sale,1001,Representatives,Pennsylvania,Democratic,"$1,001-$15,000",3/30/22,146.33,3/23/22,143.11,4/6/22,141.47,2/28/22,138.37,4/11/22,143.92,0.022500175,-0.033212602,0.057526921,-0.016469623,460.34,3/23/22,446.91,4/5/22,455.22,3/2/22,432.37,4/11/22,444.11,0.030050793,-0.011122214,0.064689965,-0.03525655
8,NEO,Dwight Evans,Sale,1001,Representatives,Pennsylvania,Democratic,"$1,001-$15,000",3/30/22,12.52,3/23/22,17.38,4/6/22,11.93,2/28/22,20.7,4/11/22,13.58,-0.279631761,-0.047124601,-0.395169082,0.084664537,460.34,3/23/22,446.91,4/5/22,455.22,3/2/22,432.37,4/11/22,444.11,0.030050793,-0.011122214,0.064689965,-0.03525655
9,ARKG,Dwight Evans,Sale,1001,Representatives,Pennsylvania,Democratic,"$1,001-$15,000",3/25/22,45.94,3/18/22,44.12,4/1/22,46.46,2/23/22,44.8,4/6/22,45.56,0.041251133,0.011319112,0.025446429,-0.008271659,451.16,3/18/22,438,3/31/22,457.89,2/25/22,429.61,4/6/22,446.89,0.030045662,0.014917103,0.050161775,-0.009464492
10,TWST,Dwight Evans,Sale,1001,Representatives,Pennsylvania,Democratic,"$1,001-$15,000",3/30/22,50.27,3/23/22,48.54,4/6/22,49.81,2/28/22,54.98,4/11/22,44.99,0.035640709,-0.009150587,-0.085667515,-0.105032823,460.34,3/23/22,446.91,4/5/22,455.22,3/2/22,432.37,4/11/22,444.11,0.030050793,-0.011122214,0.064689965,-0.03525655
11,T,Jacky Rosen,Sale,1001,Senate,Nevada,Democratic,"$1,001 - $15,000",4/8/22,17.88,4/1/22,17.92,4/15/22,17.96,3/9/22,17.59,4/20/22,19.52,-0.002232143,0.004474273,0.01648664,0.091722595,447.97,4/1/22,453.31,4/14/22,443.55,3/11/22,428.12,4/21/22,448.54,-0.011780018,-0.009866732,0.046365505,0.001272407
12,TSLA,Kim Dr Schrier,Sale,250001,Representatives,Nevada,Democratic,"$250,001-$1,000,000",3/22/22,930,3/15/22,775.27,3/29/22,1107.99,2/20/22,839.48,4/3/22,1030,0.199582081,0.191387097,0.107828656,0.107526882,445.86,3/15/22,419.77,3/28/22,452.06,2/22/22,431.89,4/1/22,453.31,0.062153084,0.01390571,0.032346199,0.016709281
13,AAPL,Kim Dr Schrier,Sale,500001,Representatives,Nevada,Democratic,"$500,001 ",3/22/22,165.51,3/15/22,150.9,3/29/22,176.69,2/20/22,161.48,4/3/22,168.76,0.096819085,0.067548789,0.024956651,0.019636276,445.86,3/15/22,419.77,3/28/22,452.06,2/22/22,431.89,4/1/22,453.31,0.062153084,0.01390571,0.032346199,0.016709281
14,TSLA,Kim Dr Schrier,Sale,250001,Representatives,Nevada,Democratic,"$250,001-$1,000,000",3/22/22,930,3/15/22,775.27,3/29/22,1107.99,2/20/22,839.48,4/3/22,1030,0.199582081,0.191387097,0.107828656,0.107526882,445.86,3/15/22,419.77,3/28/22,452.06,2/22/22,431.89,4/1/22,453.31,0.062153084,0.01390571,0.032346199,0.016709281
15,T,Jacky Rosen,Sale,1001,Senate,Nevada,Democratic,"$1,001 - $15,000",4/8/22,17.88,4/1/22,17.92,4/15/22,18.08,3/9/22,17.59,4/20/22,19.52,-0.002232143,0.011185682,0.01648664,0.091722595,447.97,4/1/22,453.31,4/14/22,443.55,3/11/22,428.12,4/21/22,448.54,-0.011780018,-0.009866732,0.046365505,0.001272407
16,T,Jacky Rosen,Sale,1001,Senate,Nevada,Democratic,"$1,001 - $15,000",4/8/22,17.88,4/1/22,17.92,4/15/22,18.08,3/9/22,17.59,4/20/22,19.52,-0.002232143,0.011185682,0.01648664,0.091722595,447.97,4/1/22,453.31,4/14/22,443.55,3/11/22,428.12,4/21/22,448.54,-0.011780018,-0.009866732,0.046365505,0.001272407
17,BDX,Jacky Rosen,Sale,1001,Senate,Nevada,Democratic,"$1,001 - $15,000",4/1/22,260.55,3/25/22,258.16,4/8/22,274.07,3/2/22,263.99,4/13/22,269.07,0.009257825,0.051890232,-0.013030797,0.032700058,453.31,3/25/22,451.16,4/7/22,445.59,3/4/22,431.75,4/13/22,438.03,0.004765493,-0.017030288,0.049936306,-0.033707617
18,AAPL,Kim Dr Schrier,Sale,250001,Representatives,Nevada,Democratic,"$250,001-$1,000,000",3/22/22,165.51,3/15/22,150.9,3/29/22,176.69,2/20/22,164.39,4/3/22,167.39,0.096819085,0.067548789,0.006813066,0.01135883,445.86,3/15/22,419.77,3/28/22,452.06,2/22/22,431.89,4/1/22,453.31,0.062153084,0.01390571,0.032346199,0.016709281
19,USAC,Mark Dr Green,Sale,500001,Representatives,Nevada,Democratic,"$500,001 ",4/18/22,19.78,4/11/22,18.97,4/25/22,18.52,3/19/22,17.7,4/30/22,17.58,0.042698998,-0.063700708,0.117514124,-0.111223458,436.81,4/8/22,447.97,4/22/22,436.91,3/18/22,438,4/28/22,422.29,-0.024912383,0.000228932,-0.002716895,-0.033240997
20,ET,Mark Dr Green,Sale,250001,Representatives,Nevada,Democratic,"$250,001-$1,000,000",4/19/22,11.58,4/12/22,11.2,4/26/22,11.01,3/20/22,10.51,5/1/22,11.49,0.033928571,-0.049222798,0.101807802,-0.007772021,436.81,4/8/22,447.97,4/22/22,436.91,3/18/22,438,4/28/22,422.29,-0.024912383,0.000228932,-0.002716895,-0.033240997
21,USAC,Mark Dr Green,Sale,100001,Representatives,Nevada,Democratic,"$100,001-250,000",4/14/22,19.3,4/7/22,18.57,4/21/22,19.98,3/15/22,17,4/26/22,18.05,0.039310716,0.035233161,0.135294118,-0.064766839,443.55,4/7/22,445.59,4/21/22,448.54,3/17/22,433.59,4/27/22,417.24,-0.0045782,0.011250141,0.022971009,-0.059316875
22,AJG,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,158.78,3/9/22,153.16,3/23/22,166.95,2/14/22,155.53,3/28/22,168.29,0.036693654,0.051454843,0.02089629,0.059894193,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
23,WPC,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,79.99,3/9/22,79.58,3/23/22,80.19,2/14/22,76,3/28/22,81.7,0.005152048,0.002500313,0.0525,0.021377672,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
24,SO,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,68.44,3/9/22,68.27,3/23/22,68.8,2/14/22,66.9,3/28/22,70.99,0.002490113,0.005260082,0.023019432,0.037258913,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
25,TSN,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,86.07,3/9/22,93.86,3/23/22,86.81,2/14/22,97.21,3/28/22,86.93,-0.082995951,0.008597653,-0.114597264,0.009991867,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
26,XOM,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,77.81,3/9/22,84.03,3/23/22,83.34,2/14/22,79.58,3/28/22,83.17,-0.074021183,0.071070556,-0.022241769,0.068885747,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
27,CAT,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,217.5,3/9/22,212.57,3/23/22,221.69,2/14/22,200.95,3/28/22,222.34,0.02319236,0.019264368,0.082358796,0.022252874,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
28,PEG,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,67.48,3/9/22,67,3/23/22,67.04,2/14/22,66.22,3/28/22,68.24,0.007164179,-0.006520451,0.019027484,0.011262596,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
29,UPMKF,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,31.16,3/9/22,28.73,3/23/22,33.45,2/14/22,38.41,3/28/22,35.42,0.084580578,0.073491656,-0.188752929,0.136713736,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
30,EVRG,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,64.59,3/9/22,64.34,3/23/22,65.1,2/14/22,62.8,3/28/22,66.98,0.003885608,0.007895959,0.028503185,0.037002632,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
31,RHHBY,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,48,3/9/22,47.01,3/23/22,49.13,2/14/22,46.5,3/28/22,49.92,0.021059349,0.023541667,0.032258065,0.04,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
32,BCE,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,53.02,3/9/22,53.92,3/23/22,54.04,2/14/22,52.13,3/28/22,54.4,-0.016691395,0.019238023,0.017072703,0.026027914,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
33,CVS,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,107,3/9/22,104.54,3/23/22,107.48,2/14/22,104.07,3/28/22,108,0.023531663,0.004485981,0.028154127,0.009345794,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
34,AVGO,John Rutherford,Sale,1001,Representatives,Florida,Republican,"$1,001-$15,000",3/16/22,596.65,3/9/22,588.79,3/23/22,608,2/14/22,575,3/28/22,625.88,0.013349412,0.019022878,0.037652174,0.048990195,429.89,3/9/22,425.14,3/22/22,445.86,2/15/22,443.73,3/28/22,452.06,0.01117279,0.037149038,-0.031190138,0.051571332
